col1 = Filename
col2 = Percent correct ID
col3 = Number (out of 20) heard as iy
col4 = Number (out of 20) heard as ih
col5 = Number (out of 20) heard as ei
col6 = Number (out of 20) heard as eh
col7 = Number (out of 20) heard as ae
col8 = Number (out of 20) heard as ah
col9 = Number (out of 20) heard as aw
col10= Number (out of 20) heard as oa
col11= Number (out of 20) heard as oo
col12= Number (out of 20) heard as uw
col13= Number (out of 20) heard as uh
col14= Number (out of 20) heard as er
col15= Signal heard predominately as this vowel

Note: An asterisk to the far right means that the majority vote was
      for a vowel other than that intended by the talker.

Filename    %ID   iy  ih  ei  eh  ae  ah  aw  oa  oo  uw  uh  er Vote
m08eh.w     65.0   0   0   0  13   7   0   0   0   0   0   0   0  eh
m08ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m08er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m08ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m08iy.w     95.0  19   0   1   0   0   0   0   0   0   0   0   0  iy
m08oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m08oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m08uh.w     95.0   0   0   0   0   0   0   0   0   1   0  19   0  uh
m08uw.w     95.0   0   0   0   0   0   0   0   0   1  19   0   0  uw
m09ae.w     75.0   0   0   0   5  15   0   0   0   0   0   0   0  ae
m09ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m09aw.w     90.0   0   0   0   0   0   1  18   0   0   0   1   0  aw
m09eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m09ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m09er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m09ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m09iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m09oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m09oo.w     95.0   0   0   0   0   0   0   0   0  19   1   0   0  oo
m09uh.w     90.0   0   0   0   0   0   0   0   0   2   0  18   0  uh
m09uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m10ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m10ah.w     85.0   0   0   0   0   0  17   2   0   0   0   0   1  ah
m10aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m10eh.w     95.0   0   0   0  19   0   0   0   0   1   0   0   0  eh
m10ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m10er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m10ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m10iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m10oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m10oo.w     90.0   0   0   0   0   0   0   0   0  18   2   0   0  oo
m10uh.w     90.0   0   0   0   0   0   2   0   0   0   0  18   0  uh
m10uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m11ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m11ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m11aw.w     55.0   0   0   0   0   0   9  11   0   0   0   0   0  aw
m11eh.w     90.0   0   0   0  18   2   0   0   0   0   0   0   0  eh
m11ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m11er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m11ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m11iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m11oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m11oo.w     95.0   0   0   0   0   0   0   0   0  19   0   0   1  oo
m11uh.w     90.0   0   0   0   0   0   0   1   0   1   0  18   0  uh
m11uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m13ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m13ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m13aw.w     90.0   0   0   0   0   0   2  18   0   0   0   0   0  aw
m13eh.w     65.0   0   0   0  13   7   0   0   0   0   0   0   0  eh
m13ei.w     95.0   0   0  19   0   0   1   0   0   0   0   0   0  ei
m13er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m13ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m13iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m13oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m13oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m13uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m13uw.w     75.0   0   0   0   0   0   0   0   4   1  15   0   0  uw
m14ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m14ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m14aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m14eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m14ei.w     95.0   0   0  19   1   0   0   0   0   0   0   0   0  ei
m14er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m14ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m14iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m14oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m14oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m14uh.w     85.0   0   0   0   0   0   2   1   0   0   0  17   0  uh
m14uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m16ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m16ah.w     25.0   0   0   0   0   0   5   1   0   0   0  14   0  uh *
m16aw.w     65.0   0   0   0   0   0   1  13   0   0   0   6   0  aw
m16eh.w     95.0   0   0   0  19   0   0   1   0   0   0   0   0  eh
m16ei.w     95.0   0   0  19   0   0   0   1   0   0   0   0   0  ei
m16er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m16ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m16iy.w     95.0  19   0   0   0   0   0   0   0   0   1   0   0  iy
m16oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m16oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m16uh.w     95.0   0   0   0   0   0   0   0   0   1   0  19   0  uh
m16uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m17ae.w     75.0   0   0   0   5  15   0   0   0   0   0   0   0  ae
m17ah.w     75.0   0   0   0   0   0  15   4   0   0   0   1   0  ah
m17aw.w    100.0   0   0   0   0   0   0  20   0   0   0   0   0  aw
m17eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m17ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m17er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m17ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m17iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m17oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m17oo.w     95.0   0   0   0   0   0   0   0   0  19   1   0   0  oo
m17uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m17uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m18ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m18ah.w     95.0   0   0   0   0   0  19   1   0   0   0   0   0  ah
m18aw.w    100.0   0   0   0   0   0   0  20   0   0   0   0   0  aw
m18eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m18ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m18er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m18ih.w     90.0   0  18   0   2   0   0   0   0   0   0   0   0  ih
m18iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m18oa.w     95.0   0   0   0   0   0   0   0  19   0   0   1   0  oa
m18oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m18uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m18uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m19ae.w     80.0   0   0   0   4  16   0   0   0   0   0   0   0  ae
m19ah.w     90.0   0   0   0   0   0  18   1   0   0   0   1   0  ah
m19aw.w     70.0   0   0   0   0   0   2  14   0   1   0   3   0  aw
m19eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m19ei.w     95.0   0   0  19   1   0   0   0   0   0   0   0   0  ei
m19er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m19ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m19iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m19oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m19oo.w     95.0   0   0   0   0   0   0   0   0  19   1   0   0  oo
m19uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m19uw.w     95.0   0   0   0   0   0   0   0   0   1  19   0   0  uw
m20ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m20ah.w     95.0   0   0   0   0   1  19   0   0   0   0   0   0  ah
m20aw.w     80.0   0   0   0   0   0   2  16   0   0   0   2   0  aw
m20eh.w     95.0   0   0   0  19   1   0   0   0   0   0   0   0  eh
m20ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m20er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m20ih.w     90.0   0  18   0   2   0   0   0   0   0   0   0   0  ih
m20iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m20oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m20oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m20uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m20uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m21ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m21ah.w     95.0   0   0   0   0   0  19   0   0   0   0   1   0  ah
m21aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m21eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m21ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m21er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m21ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m21iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m21oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m21oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m21uh.w     90.0   0   0   0   0   0   1   0   0   1   0  18   0  uh
m21uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m22ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m22ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m22aw.w     45.0   0   0   0   0   0  11   9   0   0   0   0   0  ah *
m22eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m22ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m22er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m22ih.w     85.0   0  17   0   3   0   0   0   0   0   0   0   0  ih
m22iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m22oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m22oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m22uh.w     95.0   0   0   0   0   0   0   1   0   0   0  19   0  uh
m22uw.w     95.0   0   0   0   0   0   0   0   1   0  19   0   0  uw
m23ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m23ah.w     95.0   0   0   0   0   0  19   1   0   0   0   0   0  ah
m23aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m23eh.w     80.0   0   0   0  16   4   0   0   0   0   0   0   0  eh
m23ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m23er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m23ih.w     95.0   0  19   0   1   0   0   0   0   0   0   0   0  ih
m23iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m23oa.w     95.0   0   0   0   1   0   0   0  19   0   0   0   0  oa
m23oo.w     90.0   0   0   0   0   0   0   0   0  18   0   2   0  oo
m23uh.w     85.0   0   0   0   0   0   1   2   0   0   0  17   0  uh
m23uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m24ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m24ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m24aw.w     45.0   0   0   0   0   0  11   9   0   0   0   0   0  ah *
m24eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m24ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m24er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m24ih.w     50.0   0  10   0  10   0   0   0   0   0   0   0   0  ih
m24iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m24oa.w     95.0   0   0   0   0   0   0   0  19   1   0   0   0  oa
m24oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m24uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m24uw.w     85.0   0   0   0   0   0   0   0   0   3  17   0   0  uw
m25ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m25ah.w     95.0   0   0   0   0   0  19   0   0   0   0   1   0  ah
m25aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m25eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m25ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
